Manohara Secondary School,85.4095133,27.7056732
shree laxmi secondaray school,84.4597725,28.1897429
Bella Pre School,85.2953507,27.7055958
Karnali Technical School,82.1802322,29.3061113
Numa Restaurant,85.3217194,27.6689492
Sri Sarswati Higher Secondary School,87.3180952,27.2925265
LA school,85.3097406,27.6694486
National Multiple college,85.3129937,27.6692518
Genesis,85.3147412,27.6665943
National Multiple Campus,85.3131664,27.6685047
SVM,85.3157139,27.6663644
 ,85.3153051,27.6714874
Shree Radhika Higher Secondary School,87.6392833,26.669984
Shree Sunpakuwa Secondary School,87.6038395,26.6715326
Morang Model Secondary School,87.6393674,26.6672802
Tripura Glorious Academy,86.0483064,27.6671185
Sirjana English Boarding School,84.4388469,27.6644
Shree Prithibi Higher Secondary School,87.6520905,27.0689577
 ,87.6439434,27.0794889
 ,83.7263749,28.769389
Saarada English Boarding School,86.7419549,26.5389258
sarada +//0- school,86.7446955,26.537707
Keso indrawati,86.7509136,26.5406153
ma saraswoti school,86.7421839,26.5414351
Hollyland coaching centre,86.7517936,26.5405263
World vision hss/campus,86.7526008,26.5406719
Modern S.School,86.7533025,26.5406053
Janaki Higher Secondary School,86.7487794,26.5321448
shiva internationa boarding secondary school,86.7476181,26.5260054
Kamana child centre,86.7535942,26.5408426
Pacific tutorial,86.7538088,26.5408383
Durga Ma. Vi,86.7491096,26.5344685
Santi niketan Academy,86.7446012,26.5412282
Saptari multiple collage,86.7426748,26.5423253
laligurash english bording higer school,86.7416334,26.5439152
Laxmi Boarding English School,86.7473401,26.5457142
Nepal Softech College of Computer Engineering P.Ltd.,86.7477439,26.5476062
Shree Lali Gurans E.B.Higher Secondary School,86.7470415,26.5531271
adarsha vidya mandir,86.7562417,26.5419662
ma sarde coaching center,86.7568254,26.5420848
Pre+AC0-Primary,83.0780204,28.2077812
Pathari multiple college,87.5560596,26.6542023
Dhukurpani School,87.6726647,26.6935969
Delhi Public School,87.2599,26.8088902
Busy Bees Kindergarten,85.3316655,27.7207029
Secondary School,85.3386894,28.1649126
Gosaikunda English Reading School,85.3388638,28.1643332
Diktel English Higher Secondary Boarding school,86.7904238,27.2195501
Diktel Multiple Campus,86.7876509,27.2267798
sagarmatha .hi.s.school ghoretar bhojpur,87.1210045,27.0222017
sagarmatha u.ma vi ghoretar,87.1210899,27.0223054
Bhim Pustakalaya,86.0749445,27.6774446
Raj Kuleshwor School,86.0737686,27.6761635
Bhim Uchha Madhyamik Vidyalaya,86.0706403,27.6791941
Tikhatal School,86.0606624,27.6758272
Shree Sun Rise English Boarding School,87.6485285,27.0694037
Swastik College of CSIT,85.380514,27.6737265
Saraswoti Primary School,84.9905623,27.4429645
Shree Tribhuwan Higher Secondary School,84.989421,27.4368203
James Boarding School,84.9938541,27.4357233
Adhunik School,85.034672,27.4264186
Hetauda School Of Management,85.0345632,27.4257377
Bhutan Devi School,85.03501,27.4282077
KISC,85.3097792,27.6760659
Sagarmatha English Boarding School,83.5799167,27.6502438
Sharada Vidya Niketan,80.5805463,28.7092336
L.G Academy Montessori School+AC0- Junior Block,80.5843164,28.7087138
Innovative College of Health Science Pvt. Ltd.,85.3405376,27.7112248
Nepali Maharisi Foundation for Bhaidhik Culture,85.3398568,27.7112838
Seto Bangla Boarding School,85.3379743,27.7117352
Shree Bal Byabasayi Kendra Secondary School,85.3406025,27.7109927
Kailashkot Multiple Campus,85.3438255,27.7107407
Lyceum Model School,85.3405445,27.714924
Galaxy School,80.5867412,28.7098244
HVM College,85.3387152,27.7096746
Shree Gangalal Higher Secondary School Gate,83.8203885,27.8867203
Cosmos College of Management and Technology,85.3208583,27.6555175
Shree Hill World English Boarding School,80.5913016,28.7031815
Rangjung Yeshe Institute,85.3630395,27.724279
Primary School,84.3148942,28.2469106
Shree Gram Kalyan Lower Secondary School,84.3037991,28.2854842
Shree Manakamana English Boarding School,84.3935746,28.2044773
driving liscence training center,85.5202976,27.6304743
bright vision education center,85.3903629,27.6901282
Shree Maidan Higher Secondary School,83.8272894,28.1775409
Shree Sanjiwani Primary School,85.5273148,27.7402504
Caspian Academy,80.5962304,28.7000366
bal mandir school,80.5816378,28.7050315
sandhya pusthakalya,85.3428897,27.710955
 ,85.3647354,27.7426243
manasarovas academy,85.3643667,27.7269249
Sunaulo Community Educational Center,85.1231112,27.6491208
Basanta Primary School,85.1137874,27.6236653
Shree Swarswoti Balbodhini Maha Vidhalaya,85.1511174,27.6199033
Laxmi Higher Secondry School,87.448707,26.6521487
Baraha Higher Secondary School,83.8993011,28.3152599
Bhoomeshwor Secondary School,83.8833213,28.3059262
Hemjakot Primary School,83.8814023,28.3014084
Kailash Tetsuo Primary School,83.8859186,28.3085631
Indreni Primary School,83.8784615,28.3134028
Everest Boarding School,83.8819321,28.3043222
 ,88.0397555,26.8863281
Indreni College,84.4415406,27.6868112
balkumarienglishschool,84.4253516,27.7005372
 ,83.6274782,28.4386267
shree national prrimary,84.4285571,27.7008688
shree rastriya prathamik kk,84.4278607,27.7016566
Chitrasen Pra vi,84.4348734,27.6851778
Lower Gokundeshwor H. S. School,87.3439812,26.9785967
Upper Gokundeshwor H. S. School,87.3415373,26.9801848
arun primary school and c.d.m.c offic,87.2178121,27.1911909
