name,xcoord,ycoord,,
Citizen Bank,85.3347888,27.7028475,,
ICFC Finance Limited,85.335289,27.7032288,,
Mega Bank Nepal Ltd,85.3335878,27.7038182,,
Rastriya Banijaya Bank Ltd,85.3336605,27.7037318,,
Bank of Asia,85.328788,27.7058975,,
Bank of Kathmandu Ltd,85.3334735,27.7113524,,
First Microfinance Development Bank,85.3335005,27.711417,,
Global IME Bank,85.3334032,27.7115224,,
Global IME Bank,85.325163,27.7293183,,
Machhapuchchhre Bank,85.3311758,27.7240205,,
Chaitanya Saving and Credit,85.3184285,27.7354782,,
Everest Bank,85.3184291,27.7354299,,
Global IME Bank,85.3160077,27.73534,,
Kalika Bikas Saving and Credit,85.3155958,27.7353281,,
Kasthamandap Dev. Bank,85.3150688,27.7353021,,
Lagani Multiple Cooperative,85.3145926,27.7345753,,
Lunar saving and credit,85.3159443,27.7353332,,
Mero Pyaro Saving and Credit,85.3150706,27.7353642,,
Nabaratna Saving and Credit,85.3184617,27.735454,,
Nepal SBI Bank,85.3161441,27.7353434,,
Pukar Saving and Credit,85.3158502,27.7353366,,
Reliable Finance Ltd,85.3150637,27.7353335,,
Sanima Bank,85.3166741,27.7353643,,
 ,85.3156004,27.7352958,,
Bank of Kathmandu,85.3199571,27.7356738,,
Grand Bank Nepal,85.3175292,27.734855,,
IME Centre,85.3160784,27.7347376,,
Kailash Bikas Bank,85.3169826,27.7348018,,
Machhapuchchhre Bank,85.3175262,27.7348108,,
Manakamana Dev. Bank,85.315385,27.7346647,,
Munal Saving and Credit,85.316193,27.7347447,,
Prabhu Finance Company,85.3160257,27.7347302,,
ICFC Finance Limited,85.3305977,27.7180902,,
Western Union Money Transfer,85.3291008,27.7175231,,
Padmakara Savings and Cooperative Pvt. Ltd.,85.3289881,27.7175092,,
Nepal Investment Bank Limited,85.327668,27.7097384,,
Sunrise Bank,85.3276978,27.7097285,,
Global IME Bank,85.3465414,27.7287647,,
Samarpan Saving and Credit Cooperative Limited,85.3353774,27.7217532,,
 ,85.3177712,27.7114889,,
Nepal Bangladesh Bank Head Office,85.3290422,27.690251,,
Kasthamandap Development Bank,85.3174304,27.68119,,
SIDDHARTHA BANK,85.3211601,27.6780478,,
 ,85.3211848,27.6781378,,
 ,85.3170168,27.6801763,,
 ,85.3211362,27.6782322,,
 ,86.7094485,27.8047592,,
Mega Bank Limited,85.3121221,27.6715066,,
 ,85.3177776,27.7117345,,
 ,85.5384361,27.6207292,,
Thami's cafe,85.3154109,27.7172842,,
ICFC Finance Limited,85.3306199,27.7180948,,
Dakshya Saving and Credit Cooperative Ltd.,85.3313157,27.7307004,,
 ,85.3233732,27.7260665,,
 ,85.3650957,27.7427142,,
Vibor Bank,85.3276114,27.7398959,,
 ,85.3308319,27.7419513,,
Global IME atm,85.3327052,27.7425626,,
Sswornim bhabasya finance,85.3263671,27.7406163,,
KDBL ATM,85.3227737,27.7370182,,
Commerce and Trust Bank Limited,85.3325199,27.7424283,,
Everest Bank Ltd.,85.3112823,27.7033376,,
Nepal Investment Bank,85.3105912,27.7034278,,
