Name_of_Br,xcoord,ycoord
Adheri,85.821583333,27.7510833330001
Takhle,85.830027778,27.7558333330001
Thado,85.8495,27.7567777780001
Ghotte,85.8508055560001,27.7569444440001
Barabise,85.8991388890001,27.7868888890001
Sano Kholchha,85.8979166670001,27.7918888890001
Khakdole,85.8931111110001,27.8019722220001
Bhulkote,85.8984722220001,27.875944444
Marming,85.9077500000001,27.8800555560001
Chaku,85.9138333330001,27.883027778
Sukundo,85.932972222,27.920972222
Phulping,85.936888889,27.930166667
Bhairabkunda,85.9367222220001,27.932083333
Liping,85.9591111110001,27.968944444
Friendship,85.9618888890001,27.971722222
Sungure (Ganesh),85.132961111,27.735416667
Sopyang,85.1146666670001,27.7439166670001
Agara Khola,85.065222222,27.752388889
Junge Khola,85.108472222,27.74325
Khahare Khola,85.0530555560001,27.7494444440001
Phedi Khola,85.043972222,27.7576111110001
Dangdung,85.0438888890001,27.759888889
Kheste Khola,85.024722222,27.777222222
Gardo Khola,84.9944444440001,27.7972222220001
Jundi,84.9788888890001,27.8008333330001
Chiraundi,84.968333333,27.8067222220001
Belkhu,84.951583333,27.8134166670001
Pokhare,84.91675,27.799916667
Galaundi,84.889944444,27.8074444440001
Soti,84.8728055560001,27.801055556
Malekhu,84.8355277780001,27.806805556
Gomati,84.7880277780001,27.8122500000001
Charaundi,84.7501388890001,27.8030277780001
Khatauti,84.7248888890001,27.797888889
Hugdi,84.6971111110001,27.807138889
Mowa,84.6648611110001,27.8253888890001
Dahaki,84.6340277780001,27.8608055560001
Barbang,84.6306388890001,27.86825
Nagdi,84.5768055560001,27.8633611110001
Jugedi,84.4701388890001,27.7663055560001
Khahare,84.464444444,27.772555556
Dash Dhunga,84.4532222220001,27.77925
Khor,84.441361111,27.7795833330001
Lamobaluwa,84.4319166670001,27.7983611110001
Khani Khola,84.4316388890001,27.802111111
Bhorle,84.4445000000001,27.8201388890001
Mauri,84.462805556,27.81775
Dumre,84.4665277780001,27.8189722220001
Simaltal,84.4833333330001,27.82025
Rigdi,84.495972222,27.8192777780001
Jalbire,84.522777778,27.8251666670001
Namsi,84.5467222220001,27.830833333
Tope,84.5488611110001,27.831166667
Kali,84.552611111,27.833638889
